timestamp,pair,policy,fold,seed,action_index,action_label,position_value,equity,position_value/equity,inventory_units,turnover_this_bar,grid_active,grid_levels_crossed_this_bar
2026-01-08T23:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-01-09T00:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-01-09T01:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T02:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T03:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T04:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T05:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T06:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T07:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-01-09T08:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,1504.206693036981,10002.706693036982,0.15037996606299367,1.6904047794987707,1500.0,True,1
2026-01-09T09:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,1504.206693036981,False,0
2026-01-09T10:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T11:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T12:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T13:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T14:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-09T15:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T16:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T17:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T18:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-09T19:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T20:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T21:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T22:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-09T23:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T00:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T01:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T02:00:00+00:00,BNBUSDT,trained,4,42,1,grid_1,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T03:00:00+00:00,BNBUSDT,trained,4,42,9,FLAT,0.0,10001.202486343946,0.0,0.0,0.0,False,0
2026-01-10T04:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T05:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T06:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T07:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T08:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,0.0,10001.202486343946,0.0,0.0,0.0,True,0
2026-01-10T09:00:00+00:00,BNBUSDT,trained,4,42,2,grid_1.5,1502.6106058295002,10002.132538848902,0.15022902366003124,1.6678068769959489,1500.1803729515918,True,1
