timestamp,pair,policy,fold,seed,action_index,action_label,position_value,equity,position_value/equity,inventory_units,turnover_this_bar,grid_active,grid_levels_crossed_this_bar
2026-04-08T23:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T00:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T01:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T02:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-09T03:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-09T04:00:00+00:00,ETHUSDT,trained,5,42,2,grid_1.5,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-09T05:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T06:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T07:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T08:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T09:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T10:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T11:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T12:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T13:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T14:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T15:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T16:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T17:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T18:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T19:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T20:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10000.0,0.0,0.0,0.0,False,0
2026-04-09T21:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-09T22:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-09T23:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-10T00:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,0.0,10000.0,0.0,0.0,0.0,True,0
2026-04-10T01:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,1006.5988247097605,10005.598824709761,0.10060355630328398,0.4586498495055181,1000.0,True,1
2026-04-10T02:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,1004.0395585495198,10003.03955854952,0.10037344675812813,0.4586498495055181,0.0,True,0
2026-04-10T03:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,1002.636090010033,10001.636090010034,0.1002472076555054,0.4586498495055181,0.0,True,0
2026-04-10T04:00:00+00:00,ETHUSDT,trained,5,42,1,grid_1,1007.0620610577612,10006.062061057763,0.1006451943744293,0.4586498495055181,0.0,True,0
2026-04-10T05:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10005.054998996704,0.0,0.0,1007.0620610577612,False,0
2026-04-10T06:00:00+00:00,ETHUSDT,trained,5,42,9,FLAT,0.0,10005.054998996704,0.0,0.0,0.0,False,0
